0,1,2
2020-04-03 23:13:56+00:00,"திருட்டு தேச துரோக பயல்களா!துலுக்க அடிவருடிகள் . பாருடா துலுக்க காரோண வைரஸ் ஜிகாத்.இந்தியா டுடே ஓர் இடது சாரி பத்திரிகை.அது சொல்வதை பாருடா பொறுக்கிகளா . INDIA TODAY: At 2,600, India reports record coronavirus case spike, 647 Jamaat-linked Covid-19 patients in country |",RatnavelServai
2020-04-03 23:13:54+00:00,India to accept donations from abroad for PM-CARES fund to fight COVID-19 https://www.instagram.com/p/B-iWi_8DerJ/?igshid=amro458sjdi9,earthinfotechs
2020-04-03 23:13:14+00:00,"I dont find you a wrong person Your point is valid nd the actions of these people are horrendous As a doctor it pains to see such kind of treatment towards doctors, nurses,healthworkers from these #NizamuddinIdiots who have put lives at risk all over india #coronavirus #Covid_19",DrShaileshPol
2020-04-03 23:12:31+00:00,"திருட்டு தேச துரோக பயல்களா!துலுக்க அடிவருடிகள் . பாருடா துலுக்க காரோண வைரஸ் ஜிகாத்.இந்தியா டுடே ஓர் இடது சாரி பத்திரிகை.அது சொல்வதை பாருடா பொறுக்கிகளா . INDIA TODAY: At 2,600, India reports record coronavirus case spike, 647 Jamaat-linked Covid-19 patients in country |",RatnavelServai
2020-04-03 23:12:19+00:00,"திருட்டு தேச துரோக பயல்களா!துலுக்க அடிவருடிகள் . பாருடா துலுக்க காரோண வைரஸ் ஜிகாத்.இந்தியா டுடே ஓர் இடது சாரி பத்திரிகை.அது சொல்வதை பாருடா பொறுக்கிகளா . INDIA TODAY: At 2,600, India reports record coronavirus case spike, 647 Jamaat-linked Covid-19 patients in country |",RatnavelServai
2020-04-03 23:11:48+00:00,"kya baat hai .latest spread of covid in India is because of muslims. Breaking law ,violence ,lack of hygiene ,no social distancing ,gatheting to pray and what not . Take all muslim positive cases to pak if you all feel muslims are a persecuted lot.ofcourse you will not ",guruprasad0318
2020-04-03 23:09:58+00:00,Una pareja de la India eligió peculiares nombres para sus hijos recien nacidos: Corona y Covid http://noticiasdelinterior.com.ar/una-pareja-de-la-india-eligio-peculiares-nombres-para-sus-hijos-recien-nacidos-corona-y-covid/ vía @Noticias del Interior - Carlos Rosznercki,ROSZNERCKI
2020-04-03 23:08:56+00:00," India: (Part 2) Notes: Heavily Locked-down, Unreliable Data, Poverty : 10 367 : 69 437,983,811 6,131,773 x2: 2.3 04/04 #CovidIndia ",neilellis
2020-04-03 23:08:56+00:00," India: Unrestricted spreading and worsening rapidly, contagion. Danger of uncontrolled growth. : 2,543 (actual 26,209?) Δ: 545 = 27% : 72 Δ: 14 / : 2.83% 04/04 #CovidIndia",neilellis
2020-04-03 23:08:44+00:00,"@realDonaldTrump @VP @seanhannity @TuckerCarlson @IngrahamAngle @SteveHiltonx If India is doing this as a preventative, why are we not? COVID-19: Orders for over 10 million anti-malarial hydroxychloroquine tabs placed by Centre -Times of India - ",jaime_la_web
2020-04-03 23:08:44+00:00,"93-yr-old Kerala man, 88-yr-old wife cured of Covid-19 – india news ",allaboutbelagav
2020-04-03 23:08:43+00:00,"At 2,600, India reports record coronavirus case spike, 647 Jamaat-linked Covid-19 patients in country | Developments ",RatnavelServai
2020-04-03 23:08:41+00:00,"South Africa with a thriving domestic pharmaceutical industry, where India serves as a source of 28% of imports of finished drugs, the contribution to bulk drug imports is a meagre 3%. Covid-19 outbreak could be Indian pharma’s big opportunity in Africa ",AnishA_Moonka
2020-04-03 23:07:27+00:00,@KirenRijiju @HMOIndia @PMOIndia @Manekagandhibjp COVID-19 | How China's vaccine hunt will further impact India's Northeast @moneycontrolcom,vivike41
2020-04-03 23:06:42+00:00,Couple names newborn twins “Corona and Covid” after lockdown birth in India https://www.africatembelea.com/couple-names-newborn-twins-corona-and-covid-after-lockdown-birth-in-india/ via @AfricaTembelea,AfricaTembelea
2020-04-03 23:05:13+00:00,Day - 11 keep smiling #covid_19 #nofear #fight #humanity #together #stayathome #india #winner,sach_kannan
2020-04-03 23:04:46+00:00,"https://www.reporterswall.com/corona-and-covid-twins-born-in-lockdown-named/ An Indian mother has named her twins born during the coronavirus lockdown in her country after the deadly virus. Preeti Verma, from central India, named the boy Covid and the girl Corona. She displayed a wicked sense of humor!",tatianycoeuvre
2020-04-03 23:03:57+00:00,Não é fake! Gêmeos nascem no meio da pandemia e são batizados de Corona e Covid #India #Nascimento #Gravidez #Inusitado #Pandemia #Covid_19,PlenoNews
2020-04-03 23:03:43+00:00,I’m seeing news lately about BCG vaccine playing a role in decreasing deaths in India related to covid,gorantlagk
2020-04-03 23:03:09+00:00,#PMCARES PM Modi has always believed and shown in actions that public participation is the most effective way to get anything done. PM CARES fund will enable micro-donations as a result of which a large number of people will be able to contribute to India’s fight against COVID-19,ShreyashBjp
2020-04-03 23:02:53+00:00,"#PMCARES Respecting the spirit of citizens’ desire to donate during COVID-19, the Prime Minister’s Citizen Assistance and Relief in Emergency Situations Fund is constituted. The PM CARES will go a long way in creating a healthier India. via NaMo App",ShreyashBjp
2020-04-03 23:02:37+00:00,"Dear Nationalists: For the first time in history, a disease is being linked to a specific religion/community.. Does Covid spread in China, US, Italy, France spread due to Jamaat people? Did India never had Covid cases before these Jamaat incident? ",JitenKu41948543
2020-04-03 23:02:37+00:00,"ONLY IN INDIA, OR IS IT? Best of the weekend bandugu Stay Apart Stay Safe. Two Babies Born in Lockdown Were Named Covid &amp; Corona &amp; We Can’t Handle It Either ",Yahya_Kifyatu
2020-04-03 23:02:22+00:00,Twins are born in India and are called Corona and Covid https://www.time24.news/t24/2020/04/twins-are-born-in-india-and-are-called-corona-and-covid.html,MBCNEWSAR
2020-04-03 23:01:56+00:00,"Seorang entrepreneur dari Indonesia, Santo Purnama, berhasil mengembangkan alat tes mandiri untuk virus corona jenis baru COVID-19 hanya dalam waktu 4 bulan, dan alatnya itu telah lulus lisensi edar di Eropa, Amerika Serikat, dan India. ",antarajatimcom
2020-04-03 23:01:40+00:00,"Covid-19: 16 die in a day; Tamil Nadu records 102 cases as India total tops 3,000 http://toi.in/raE3Va/a24gk via @timesofindia",Mohan1963K
2020-04-03 23:01:06+00:00,Stop France from spreading covid-19 vaccines in Africa https://youtu.be/0ZW4zb7QIxk via @YouTube @NGRPresident @genius_walker @NaijaPings @india_nigeria @menyuweyine @genius_walker,evedarl
2020-04-03 22:59:33+00:00,Um casal de gêmeos na Índia foram batizados de Covid e Corona. É sério!,JOAOARAUJ0
2020-04-03 22:59:24+00:00,"FÚTBOL | @FIFAcom confirmó en un comunicado que fueron aplazados el Mundial Femenino Sub 20 'Panamá-Costa Rica 2020' y el Mundial Femenino Sub 17 'India 2020', en el contexto de la pandemia del #COVID_19. http://bit.ly/3494I5a",RadioSportChile
2020-04-03 22:58:34+00:00,Welcoming Corona & Covid to the world India has done it ,sikunkhoma
